space_no,pos_x,pos_y,map_pos_x,map_pos_y
1,93,40,1239,550
2,93,39,1239,537
3,93,38,1239,524
4,93,35,1239,485
5,93,33,1239,459
6,93,31,1239,433
7,93,28,1239,394
8,93,27,1239,381
9,93,26,1239,368
10,93,25,1239,355
11,93,19,1239,277
12,93,18,1239,264
13,93,17,1239,251
14,93,16,1239,238
15,93,13,1239,199
16,93,11,1239,173
17,93,9,1239,147
18,93,6,1239,108
19,93,5,1239,95
20,93,3,1239,69
21,91,2,1213,56
22,90,2,1200,56
23,89,2,1187,56
24,88,2,1174,56
25,87,2,1161,56
26,86,2,1148,56
27,85,2,1135,56
28,82,1,1096,43
29,80,1,1070,43
30,73,2,979,56
31,72,2,966,56
32,71,2,953,56
33,70,2,940,56
34,69,2,927,56
35,68,2,914,56
36,67,2,901,56
37,61,2,823,56
38,60,2,810,56
39,59,2,797,56
40,58,2,784,56
41,57,2,771,56
42,56,2,758,56
43,55,2,745,56
44,51,1,693,43
45,49,1,667,43
46,40,2,550,56
47,39,2,537,56
48,38,2,524,56
49,37,2,511,56
50,36,2,498,56
51,35,2,485,56
52,34,2,472,56
53,28,2,394,56
54,27,2,381,56
55,26,2,368,56
56,25,2,355,56
57,24,2,342,56
58,23,2,329,56
59,22,2,316,56
60,18,1,264,43
61,16,1,238,43
62,8,2,134,56
63,7,2,121,56
64,6,2,108,56
65,5,2,95,56
66,4,2,82,56
67,3,2,69,56
68,2,2,56,56
69,0,3,30,69
70,0,5,30,95
71,0,6,30,108
72,0,9,30,147
73,0,11,30,173
74,0,13,30,199
75,0,16,30,238
76,0,17,30,251
77,0,18,30,264
78,0,19,30,277
79,0,25,30,355
80,0,26,30,368
81,0,27,30,381
82,0,28,30,394
83,0,31,30,433
84,0,33,30,459
85,0,35,30,485
86,0,38,30,524
87,0,39,30,537
88,0,40,30,550
1,89,40,1187,550
2,89,39,1187,537
3,89,38,1187,524
4,89,37,1187,511
5,89,36,1187,498
6,89,35,1187,485
7,89,34,1187,472
8,89,32,1187,446
9,89,31,1187,433
10,89,30,1187,420
11,89,29,1187,407
12,89,28,1187,394
13,89,27,1187,381
14,89,26,1187,368
15,89,25,1187,355
16,89,20,1187,290
17,89,19,1187,277
18,89,18,1187,264
19,89,17,1187,251
20,89,16,1187,238
21,89,15,1187,225
22,89,14,1187,212
23,89,12,1187,186
24,89,11,1187,173
25,89,10,1187,160
26,89,9,1187,147
27,89,8,1187,134
28,89,7,1187,121
29,89,6,1187,108
30,88,6,1174,108
31,88,7,1174,121
32,88,8,1174,134
33,88,9,1174,147
34,88,10,1174,160
35,88,11,1174,173
36,88,12,1174,186
37,88,14,1174,212
38,88,15,1174,225
39,88,16,1174,238
40,88,17,1174,251
41,88,18,1174,264
42,88,19,1174,277
43,88,20,1174,290
44,88,25,1174,355
45,88,26,1174,368
46,88,27,1174,381
47,88,28,1174,394
48,88,29,1174,407
49,88,30,1174,420
50,88,31,1174,433
51,88,32,1174,446
52,88,34,1174,472
53,88,35,1174,485
54,88,36,1174,498
55,88,37,1174,511
56,88,38,1174,524
57,88,39,1174,537
58,88,40,1174,550
1,86,40,1148,550
2,86,39,1148,537
3,86,38,1148,524
4,86,37,1148,511
5,86,36,1148,498
6,86,35,1148,485
7,86,34,1148,472
8,86,32,1148,446
9,86,31,1148,433
10,86,30,1148,420
11,86,29,1148,407
12,86,28,1148,394
13,86,27,1148,381
14,86,26,1148,368
15,86,25,1148,355
16,86,20,1148,290
17,86,19,1148,277
18,86,18,1148,264
19,86,17,1148,251
20,86,16,1148,238
21,86,15,1148,225
22,86,14,1148,212
23,86,12,1148,186
24,86,11,1148,173
25,86,10,1148,160
26,86,9,1148,147
27,86,8,1148,134
28,86,7,1148,121
29,86,6,1148,108
30,85,6,1135,108
31,85,7,1135,121
32,85,8,1135,134
33,85,9,1135,147
34,85,10,1135,160
35,85,11,1135,173
36,85,12,1135,186
37,85,14,1135,212
38,85,15,1135,225
39,85,16,1135,238
40,85,17,1135,251
41,85,18,1135,264
42,85,19,1135,277
43,85,20,1135,290
44,85,25,1135,355
45,85,26,1135,368
46,85,27,1135,381
47,85,28,1135,394
48,85,29,1135,407
49,85,30,1135,420
50,85,31,1135,433
51,85,32,1135,446
52,85,34,1135,472
53,85,35,1135,485
54,85,36,1135,498
55,85,37,1135,511
56,85,38,1135,524
57,85,39,1135,537
58,85,40,1135,550
1,83,40,1109,550
2,83,39,1109,537
3,83,38,1109,524
4,83,37,1109,511
5,83,36,1109,498
6,83,35,1109,485
7,83,34,1109,472
8,83,32,1109,446
9,83,31,1109,433
10,83,30,1109,420
11,83,29,1109,407
12,83,28,1109,394
13,83,27,1109,381
14,83,26,1109,368
15,83,25,1109,355
16,83,20,1109,290
